Registration Number,Specialization,Branch,Last Semester,Attendance (%),CGPA,Semester GPA (Target),Backlogs,Midterm Scores (out of 50),"Grades (S, A, B, C, D, E, F, N)",Study Hours/Day,Club Membership,Club Hours/Week,Leadership Role,Sleep Hours/Day,Stress Level,Predicted Semester GPA
23BCE10050,CSE Core,B.Tech,4,71,6.44,6.69,1,"22, 15, 31, 12, 11","['F', 'S', 'S', 'S', 'A', 'N', 'B', 'N', 'A', 'S', 'N', 'A', 'E', 'C', 'C', 'S', 'A', 'S']",4,Yes,4.5,No,7.4,3,5.69
23BCE10051,CSE Core,B.Tech,4,74,8.02,8.42,0,"9, 46, 35, 26, 18","['B', 'S', 'A', 'B', 'S', 'A', 'A', 'N', 'A', 'B', 'C', 'A', 'A', 'B', 'D', 'S', 'A', 'A']",4.9,Yes,7.6,No,7.5,3,7.85
23BCE10052,CSE Core,B.Tech,4,89,8.28,9.24,1,"34, 6, 16, 31, 24","['S', 'A', 'C', 'S', 'S', 'A', 'F', 'B', 'B', 'S', 'B', 'S', 'A', 'B', 'S', 'S', 'E', 'A']",4,Yes,5.7,No,8.9,3,7
23BCE10053,CSE Core,B.Tech,4,82,8.11,8.43,0,"25, 28, 28, 46, 49","['S', 'A', 'A', 'S', 'D', 'E', 'C', 'C', 'B', 'S', 'A', 'C', 'D', 'B', 'S', 'S', 'B', 'C']",5.1,Yes,4.2,No,6.8,4,8.51
23BCE10054,CSE Core,B.Tech,4,74,7.63,8.02,0,"24, 46, 5, 44, 19","['S', 'N', 'C', 'A', 'S', 'S', 'E', 'C', 'B', 'D', 'S', 'A', 'B', 'C', 'S', 'C', 'S', 'A']",5.4,Yes,7.4,Yes,6.8,3,7.83
23BCE10055,CSE Core,B.Tech,4,68,7.96,8.22,0,"16, 47, 32, 15, 28","['B', 'A', 'D', 'S', 'B', 'B', 'B', 'D', 'A', 'A', 'B', 'C', 'S', 'A', 'C', 'N', 'A', 'A']",4.9,Yes,3,No,7.6,5,7.46
23BCE10056,CSE Core,B.Tech,4,70,8.17,9.01,0,"42, 34, 48, 36, 25","['C', 'A', 'A', 'S', 'A', 'S', 'B', 'B', 'A', 'N', 'S', 'C', 'S', 'S', 'S', 'E', 'A', 'A']",3.4,No,0,No,8.9,3,8.29
23BCE10057,CSE Core,B.Tech,4,71,8.39,9.03,0,"36, 46, 14, 25, 30","['A', 'A', 'C', 'A', 'S', 'A', 'B', 'N', 'S', 'A', 'S', 'S', 'A', 'A', 'A', 'A', 'S', 'A']",5.5,No,0,No,8.4,3,8.28
23BCE10058,CSE Core,B.Tech,4,72,7.54,7.74,1,"21, 50, 36, 10, 36","['S', 'A', 'B', 'A', 'D', 'S', 'A', 'N', 'F', 'S', 'A', 'C', 'S', 'S', 'A', 'A', 'B', 'S']",4.5,No,0,No,8.5,5,6.81
23BCE10059,CSE Core,B.Tech,4,67,8.02,8.25,1,"44, 18, 9, 29, 22","['S', 'D', 'A', 'S', 'B', 'B', 'B', 'A', 'C', 'B', 'A', 'S', 'A', 'A', 'F', 'B', 'N', 'A']",4.5,No,0,No,7.3,5,6.47
23BCE10060,CSE Core,B.Tech,4,67,6.85,7.36,0,"37, 19, 30, 10, 6","['A', 'A', 'N', 'B', 'N', 'B', 'N', 'S', 'B', 'A', 'S', 'S', 'C', 'B', 'A', 'A', 'A', 'B']",4.6,Yes,5.9,No,8.6,5,6.43
23BCE10061,CSE Core,B.Tech,4,66,7.43,7.66,2,"35, 24, 33, 3, 43","['F', 'A', 'A', 'B', 'F', 'S', 'B', 'S', 'B', 'A', 'A', 'A', 'S', 'S', 'A', 'N', 'E', 'B']",4.2,Yes,2.6,No,8.8,3,6.02
23BCE10062,CSE Core,B.Tech,4,68,7.43,8.03,1,"16, 9, 10, 10, 26","['N', 'A', 'D', 'A', 'S', 'A', 'D', 'D', 'S', 'B', 'S', 'A', 'S', 'A', 'F', 'A', 'E', 'A']",5.2,Yes,6.4,No,7.2,5,5.63
23BCE10063,CSE Core,B.Tech,4,91,6.96,7.6,2,"3, 37, 43, 10, 7","['A', 'B', 'F', 'D', 'S', 'B', 'B', 'E', 'A', 'D', 'F', 'A', 'B', 'A', 'S', 'S', 'A', 'S']",3.4,No,0,No,8,4,5.38
23BCE10064,CSE Core,B.Tech,4,95,8.52,8.79,0,"34, 3, 4, 44, 48","['B', 'A', 'A', 'B', 'C', 'A', 'C', 'A', 'S', 'C', 'A', 'S', 'C', 'S', 'S', 'B', 'A', 'A']",4.4,No,0,No,7.8,3,8.28
23BCE10065,CSE Core,B.Tech,4,74,6.54,7.37,0,"17, 44, 11, 14, 12","['N', 'A', 'A', 'E', 'C', 'S', 'S', 'D', 'N', 'S', 'A', 'B', 'E', 'N', 'C', 'D', 'B', 'B']",6,Yes,4.4,No,8.2,4,6.76
23BCE10066,CSE Core,B.Tech,4,75,7.5,7.8,2,"26, 43, 21, 19, 4","['A', 'C', 'B', 'F', 'A', 'S', 'A', 'B', 'S', 'A', 'E', 'B', 'S', 'C', 'F', 'D', 'S', 'D']",6,Yes,5.8,Yes,6.9,5,5.8
23BCE10067,CSE Core,B.Tech,4,69,7.2,7.83,0,"12, 7, 41, 8, 4","['B', 'S', 'E', 'A', 'C', 'C', 'A', 'N', 'D', 'C', 'S', 'A', 'C', 'C', 'B', 'C', 'A', 'B']",5,Yes,4.7,No,8.9,3,6.56
23BCE10068,CSE Core,B.Tech,4,68,8.04,8.32,0,"10, 6, 33, 38, 10","['B', 'C', 'S', 'S', 'B', 'N', 'A', 'A', 'S', 'C', 'A', 'S', 'C', 'S', 'B', 'A', 'D', 'A']",3.5,No,0,No,8,4,6.82
23BCE10069,CSE Core,B.Tech,4,71,7.7,8.37,0,"33, 19, 48, 42, 16","['A', 'S', 'A', 'C', 'A', 'S', 'D', 'S', 'S', 'A', 'E', 'N', 'N', 'S', 'D', 'E', 'B', 'S']",4.8,Yes,5.8,Yes,8.9,4,7.86
23BCE10070,CSE Core,B.Tech,4,73,6.89,7.76,0,"10, 27, 16, 25, 45","['A', 'B', 'N', 'N', 'A', 'A', 'B', 'A', 'A', 'B', 'C', 'N', 'A', 'S', 'S', 'B', 'A', 'S']",4.2,No,0,No,7.7,3,7.1
23BCE10071,CSE Core,B.Tech,4,67,8.11,9.09,1,"43, 19, 14, 22, 36","['B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'N', 'S', 'B', 'A', 'S', 'S', 'C', 'C', 'F']",3.5,Yes,3.4,No,8.5,3,6.81
23BCE10072,CSE Core,B.Tech,4,83,8.44,8.65,0,"13, 29, 11, 20, 40","['A', 'S', 'S', 'A', 'C', 'B', 'A', 'A', 'B', 'B', 'S', 'D', 'A', 'B', 'D', 'A', 'E', 'A']",4.6,No,0,No,6.9,4,7.67
23BCE10073,CSE Core,B.Tech,4,91,7.72,8.1,1,"38, 48, 30, 22, 44","['A', 'F', 'D', 'S', 'B', 'S', 'C', 'S', 'A', 'D', 'A', 'A', 'D', 'A', 'S', 'D', 'C', 'A']",5.7,No,0,No,8.4,4,7.97
23BCE10074,CSE Core,B.Tech,4,89,8.11,8.46,0,"31, 6, 17, 43, 46","['A', 'A', 'C', 'A', 'A', 'S', 'D', 'B', 'B', 'E', 'S', 'A', 'S', 'E', 'B', 'A', 'D', 'B']",4,No,0,No,8.4,5,7.77
23BCE10075,CSE Core,B.Tech,4,65,6.3,7.46,0,"30, 42, 26, 39, 18","['N', 'A', 'D', 'B', 'C', 'S', 'N', 'N', 'A', 'A', 'B', 'S', 'N', 'B', 'A', 'S', 'S', 'E']",3.1,No,0,No,6.9,5,6.65
23BCE10076,CSE Core,B.Tech,4,88,6.48,6.84,2,"24, 49, 19, 3, 33","['B', 'D', 'F', 'E', 'S', 'B', 'E', 'A', 'A', 'C', 'F', 'A', 'A', 'D', 'D', 'E', 'B', 'C']",4.2,Yes,2.2,No,7.8,3,5.85
23BCE10077,CSE Core,B.Tech,4,73,7.17,7.46,2,"27, 14, 22, 21, 7","['N', 'A', 'A', 'C', 'A', 'C', 'D', 'S', 'S', 'F', 'B', 'B', 'A', 'S', 'A', 'A', 'D', 'F']",4.1,No,0,No,8.4,4,5.19
23BCE10078,CSE Core,B.Tech,4,67,7.17,7.39,2,"17, 43, 27, 37, 46","['S', 'B', 'C', 'F', 'D', 'B', 'S', 'B', 'F', 'B', 'S', 'B', 'A', 'A', 'S', 'A', 'B', 'N']",5.1,No,0,No,8.9,5,6.22
23BCE10079,CSE Core,B.Tech,4,66,6.91,7.59,2,"49, 5, 20, 24, 18","['B', 'B', 'B', 'S', 'F', 'S', 'F', 'S', 'S', 'A', 'N', 'A', 'E', 'B', 'C', 'D', 'B', 'E']",3.2,No,0,No,6.7,4,5.15
23BCE10080,CSE Core,B.Tech,4,67,5.96,6.02,3,"17, 7, 44, 44, 15","['F', 'F', 'B', 'D', 'S', 'A', 'D', 'F', 'D', 'A', 'A', 'B', 'S', 'N', 'S', 'C', 'B', 'A']",4.5,Yes,4.9,No,8.9,3,4.64
23BCE10081,CSE Core,B.Tech,4,65,7.17,8.11,2,"30, 12, 18, 4, 38","['A', 'A', 'A', 'F', 'S', 'S', 'B', 'B', 'N', 'B', 'A', 'B', 'N', 'A', 'B', 'B', 'S', 'F']",4.6,No,0,No,8.1,5,5.13
23BCE10082,CSE Core,B.Tech,4,68,7.76,8.03,0,"27, 7, 30, 19, 4","['B', 'A', 'D', 'B', 'D', 'A', 'C', 'A', 'A', 'S', 'A', 'B', 'N', 'C', 'S', 'S', 'N', 'B']",4.7,Yes,4.9,No,9,3,6.94
23BCE10083,CSE Core,B.Tech,4,70,7.96,8.24,0,"17, 40, 31, 25, 20","['S', 'A', 'S', 'B', 'S', 'S', 'E', 'E', 'A', 'S', 'E', 'D', 'N', 'S', 'B', 'B', 'A', 'S']",5.9,No,0,No,8.2,3,7.89
23BCE10084,CSE Core,B.Tech,4,77,6.63,7.26,3,"16, 34, 46, 8, 30","['S', 'B', 'A', 'S', 'B', 'B', 'B', 'F', 'F', 'F', 'B', 'A', 'A', 'B', 'B', 'E', 'B', 'A']",4.2,Yes,3.8,No,8.4,5,4.8
23BCE10085,CSE Core,B.Tech,4,68,7.76,8.34,2,"20, 37, 40, 6, 33","['C', 'B', 'F', 'A', 'S', 'S', 'D', 'S', 'S', 'S', 'A', 'A', 'S', 'B', 'F', 'N', 'A', 'S']",4.3,Yes,7.4,No,6.8,3,6.17
23BCE10086,CSE Core,B.Tech,4,77,8.44,8.67,1,"13, 48, 13, 31, 21","['B', 'D', 'A', 'A', 'A', 'S', 'C', 'B', 'A', 'C', 'S', 'A', 'B', 'A', 'S', 'B', 'A', 'F']",5.7,Yes,6.9,No,7.2,5,7.05
23BCE10087,CSE Core,B.Tech,4,69,7.59,8.53,0,"19, 6, 46, 6, 14","['C', 'A', 'A', 'E', 'A', 'B', 'N', 'E', 'S', 'A', 'A', 'A', 'B', 'A', 'A', 'S', 'S', 'S']",5.6,Yes,2.1,Yes,7.6,3,7.08
23BCE10088,CSE Core,B.Tech,4,73,6.98,7.38,1,"49, 9, 23, 35, 39","['A', 'A', 'A', 'N', 'D', 'A', 'A', 'S', 'N', 'B', 'C', 'B', 'S', 'F', 'A', 'B', 'S', 'A']",3.3,Yes,4.9,No,8.9,5,6.39
23BCE10089,CSE Core,B.Tech,4,67,7.31,7.55,1,"14, 9, 17, 39, 11","['S', 'S', 'A', 'B', 'E', 'D', 'N', 'B', 'B', 'B', 'S', 'A', 'C', 'A', 'F', 'S', 'B', 'N']",5.2,No,0,No,7,5,5.84
23BCE10090,CSE Core,B.Tech,4,72,7.37,7.73,2,"35, 40, 18, 33, 17","['C', 'A', 'N', 'S', 'S', 'A', 'D', 'A', 'S', 'S', 'F', 'F', 'S', 'S', 'A', 'S', 'S', 'S']",3.8,Yes,7.7,No,8.7,5,5.77
23BCE10091,CSE Core,B.Tech,4,71,7.74,8.6,1,"4, 15, 7, 50, 35","['A', 'N', 'A', 'A', 'A', 'E', 'S', 'B', 'B', 'S', 'C', 'S', 'S', 'C', 'A', 'N', 'C', 'F']",4.8,Yes,3.4,No,8.9,3,6.64
23BCE10092,CSE Core,B.Tech,4,80,8.2,9.01,0,"34, 44, 50, 47, 23","['A', 'D', 'B', 'S', 'B', 'E', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'C', 'A', 'A', 'B', 'A']",3,Yes,5.8,Yes,8.2,2,8.66
23BCE10093,CSE Core,B.Tech,4,91,8.41,9.27,0,"4, 38, 35, 13, 43","['B', 'S', 'S', 'S', 'S', 'S', 'C', 'A', 'E', 'C', 'S', 'D', 'S', 'B', 'E', 'A', 'C', 'S']",4.5,No,0,No,7.7,3,8.19
23BCE10094,CSE Core,B.Tech,4,86,8.87,9.38,0,"25, 40, 35, 42, 10","['C', 'S', 'A', 'S', 'A', 'S', 'S', 'A', 'S', 'B', 'B', 'A', 'E', 'C', 'A', 'A', 'A', 'A']",3.6,No,0,No,7.8,5,8.08
23BCE10095,CSE Core,B.Tech,4,65,7.7,7.95,0,"38, 38, 35, 31, 33","['A', 'S', 'C', 'B', 'N', 'E', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'C', 'A']",4.5,Yes,2.9,No,8.4,4,7.96
23BCE10096,CSE Core,B.Tech,4,76,8.69,9.33,0,"32, 10, 28, 25, 45","['A', 'A', 'B', 'A', 'A', 'S', 'A', 'S', 'S', 'B', 'A', 'B', 'B', 'C', 'E', 'E', 'A', 'E']",5.7,No,0,No,7.1,3,8.35
