Registration Number,Predicted GPA By Model,Subjects,Required Grades,Required Term-End Marks
23BCE10012,7.683450049749559,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'S', 'A', 'A']","[85.17, 70.5, 98.5, 79.83, 71.83]"
23BCE10013,7.32527432135625,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'A', 'A', 'A']","[78.17, 88.83, 65.5, 61.5, 63.5]"
23BCE10014,6.860230762734722,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'B']","[79.67, 84.33, 67.67, 71.67, 89.0]"
23BCE10015,6.627401277266545,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'S', 'B', 'A']","[89.5, 72.17, 78.83, 81.5, 56.17]"
23BCE10016,6.913879693722201,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'B', 'A']","[68.17, 94.83, 78.83, 89.5, 88.17]"
23BCE10017,6.245397579927832,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'S', 'A']","[89.0, 72.33, 99.0, 73.0, 84.33]"
23BCE10018,8.092796416033488,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'A', 'S']","[67.67, 92.33, 89.0, 99.67, 82.33]"
23BCE10019,6.79180104814839,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'S', 'S']","[58.67, 76.67, 91.33, 75.33, 85.33]"
23BCE10020,7.283205106710095,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'S', 'A', 'A']","[86.17, 81.5, 73.5, 76.83, 70.83]"
23BCE10021,5.943859323197401,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'B', 'S']","[96.5, 73.83, 56.5, 83.83, 79.17]"
23BCE10022,6.8726783415253365,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'S', 'A']","[59.0, 97.67, 71.0, 91.67, 91.0]"
23BCE10023,7.384549357568776,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'A', 'A', 'S']","[88.83, 97.5, 63.5, 69.5, 94.17]"
23BCE10024,4.762781085456197,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'B', 'S']","[84.33, 89.0, 75.67, 89.67, 95.0]"
23BCE10025,7.292188285092597,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'S', 'A']","[74.5, 85.83, 53.83, 96.5, 53.83]"
23BCE10026,6.096535780259731,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'A', 'A']","[56.5, 80.5, 60.5, 76.5, 70.5]"
23BCE10027,6.013009432128876,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'S', 'A', 'S']","[77.33, 75.33, 79.33, 98.67, 99.33]"
23BCE10028,7.426691815807105,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'B', 'S']","[64.83, 97.5, 86.17, 76.17, 81.5]"
23BCE10029,6.120392091336724,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'A', 'S']","[77.33, 71.33, 79.33, 71.33, 86.0]"
23BCE10030,7.817702739681662,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'B', 'A']","[84.67, 88.67, 83.33, 78.0, 54.67]"
23BCE10031,7.08474017998765,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'B', 'A', 'S', 'A']","[77.83, 87.83, 54.5, 95.17, 86.5]"
23BCE10032,5.880504677764365,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'S', 'A', 'S']","[93.17, 96.5, 88.5, 87.83, 80.5]"
23BCE10033,7.460997888048162,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'A', 'A', 'A']","[69.83, 91.83, 69.17, 69.17, 93.17]"
23BCE10034,6.882200446506573,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'S', 'A']","[95.17, 97.17, 57.17, 97.83, 65.17]"
23BCE10035,7.388596279118859,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'A', 'A']","[77.0, 78.33, 62.33, 56.33, 70.33]"
23BCE10036,7.357913084474079,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'S', 'A']","[99.67, 84.33, 89.67, 92.33, 87.67]"
23BCE10037,7.765554269245797,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'B', 'A', 'S']","[73.5, 75.5, 80.17, 76.83, 67.5]"
23BCE10038,8.296406327071054,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'S', 'A', 'A']","[97.33, 71.33, 81.33, 92.67, 68.67]"
23BCE10039,8.714852259103314,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'S', 'S', 'A']","[78.0, 82.0, 76.0, 84.0, 73.33]"
23BCE10040,6.317857000882599,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'A', 'A']","[58.83, 84.83, 89.5, 76.83, 78.83]"
23BCE10041,6.5736854289116895,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'S', 'A']","[99.67, 71.0, 87.67, 73.67, 61.0]"
23BCE10042,6.641773543033383,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'A', 'B', 'A']","[82.5, 77.83, 71.17, 84.5, 63.17]"
23BCE10043,6.946372140402695,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'S', 'A', 'A']","[76.67, 88.0, 73.33, 60.67, 72.67]"
23BCE10044,7.365458156721959,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'A', 'A']","[85.83, 87.17, 77.83, 81.17, 69.17]"
23BCE10045,7.171189010310519,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'S', 'B', 'S']","[84.0, 94.67, 89.33, 86.0, 77.33]"
23BCE10046,7.046913411318472,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'A', 'A']","[85.17, 85.83, 95.83, 57.17, 87.17]"
23BCE10047,7.048387412933431,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'B', 'A']","[97.5, 54.83, 99.5, 76.17, 58.83]"
23BCE10048,5.953130833600454,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'A', 'A', 'A']","[88.83, 87.5, 73.5, 89.5, 81.5]"
23BCE10049,5.639605052850722,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'S', 'B', 'S']","[74.5, 73.17, 73.83, 80.5, 71.83]"
23BCE10050,5.686426479518275,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'B', 'B']","[80.83, 94.83, 62.83, 74.17, 76.17]"
23BCE10051,7.830088483868087,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'A', 'A', 'A']","[79.67, 79.0, 54.33, 72.33, 88.33]"
23BCE10052,6.9828513977018325,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'A', 'A']","[53.83, 83.17, 89.83, 59.83, 73.83]"
23BCE10053,8.491509287729041,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'S', 'S']","[73.0, 67.0, 67.0, 77.67, 71.67]"
23BCE10054,7.820541613123283,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'S', 'A']","[76.33, 79.0, 87.67, 83.0, 86.33]"
23BCE10055,7.464631713091037,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'A']","[93.33, 78.0, 61.33, 95.33, 69.33]"
23BCE10056,8.308125034031061,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'S', 'A']","[87.67, 57.0, 75.67, 99.67, 75.0]"
23BCE10057,8.285121729006276,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'A', 'A', 'A']","[99.5, 79.5, 96.83, 74.83, 64.83]"
23BCE10058,6.80876746742724,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'B', 'S']","[82.67, 71.33, 99.33, 78.0, 99.33]"
23BCE10059,6.475350422620996,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'B', 'A', 'A']","[84.17, 89.5, 80.83, 67.5, 81.5]"
23BCE10060,6.437767489357661,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'B', 'B']","[98.17, 87.5, 65.5, 78.83, 86.83]"
23BCE10061,6.007261133659471,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'B', 'S']","[55.67, 77.67, 59.67, 93.0, 86.33]"
23BCE10062,5.6588851479025495,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'B', 'B', 'A']","[93.33, 80.67, 78.67, 78.67, 73.33]"
23BCE10063,5.383923089158748,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'S', 'B', 'B']","[88.83, 94.17, 82.17, 74.83, 80.83]"
23BCE10064,8.25746106244076,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'B', 'S', 'S']","[99.5, 88.17, 86.17, 79.5, 71.5]"
23BCE10065,6.762418670487195,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'A', 'B']","[90.33, 83.0, 75.67, 96.33, 73.67]"
23BCE10066,5.834533298046565,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'B']","[72.17, 84.83, 82.17, 86.17, 89.5]"
23BCE10067,6.552787736259929,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'B', 'S', 'B', 'B']","[74.5, 84.5, 89.83, 82.5, 90.5]"
23BCE10068,6.812645953074732,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'B', 'A', 'S', 'B']","[78.67, 86.67, 59.33, 96.0, 78.67]"
23BCE10069,7.834003858966337,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'S', 'A']","[58.83, 86.83, 75.5, 87.5, 92.83]"
23BCE10070,7.0809400891006575,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'A', 'A', 'S']","[77.83, 70.5, 92.5, 74.5, 81.17]"
23BCE10071,6.8104921198753905,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'A', 'A']","[86.17, 87.5, 97.5, 81.5, 53.5]"
23BCE10072,7.629594085261078,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'B', 'A', 'S']","[96.83, 64.83, 74.17, 82.83, 89.5]"
23BCE10073,7.96920714941197,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'A', 'A', 'S']","[92.17, 72.17, 61.5, 77.5, 80.17]"
23BCE10074,7.76952307733286,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'S', 'S']","[59.83, 83.17, 87.83, 82.5, 76.5]"
23BCE10075,6.679596899580077,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'S', 'A']","[65.83, 88.5, 73.83, 94.5, 89.83]"
23BCE10076,5.831800710158642,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'B', 'A']","[74.0, 70.67, 84.0, 89.33, 56.0]"
23BCE10077,5.1815830216321,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'A', 'B']","[70.5, 96.5, 80.5, 82.5, 83.83]"
23BCE10078,6.230294604092044,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'S', 'S']","[91.5, 86.17, 71.5, 98.17, 80.17]"
23BCE10079,5.160252305386008,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'A', 'A', 'A']","[74.33, 89.0, 85.67, 77.67, 89.67]"
23BCE10080,4.6375402855601315,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'S', 'S', 'A']","[91.5, 84.83, 84.17, 84.17, 95.5]"
23BCE10081,5.146311594374067,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'B', 'S']","[65.83, 75.17, 89.83, 91.17, 96.5]"
23BCE10082,6.918793397267053,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'A', 'B']","[71.33, 84.67, 65.33, 87.33, 90.67]"
23BCE10083,7.9037093823242675,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'A']","[91.0, 91.67, 63.0, 75.0, 85.0]"
23BCE10084,4.803594570197787,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'B', 'A']","[91.83, 55.83, 78.5, 81.17, 63.83]"
23BCE10085,6.159639050224156,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'B', 'A']","[85.33, 98.0, 92.0, 86.67, 59.33]"
23BCE10086,7.068438667169298,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'A']","[97.83, 74.5, 97.83, 61.83, 81.83]"
23BCE10087,7.083096322502588,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'S', 'B', 'A']","[87.17, 86.5, 79.83, 86.5, 97.17]"
23BCE10088,6.414964235853749,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'A', 'A', 'S']","[73.17, 79.83, 78.5, 54.5, 93.17]"
23BCE10089,5.861752111884036,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'S', 'B']","[97.5, 80.83, 91.5, 94.17, 76.83]"
23BCE10090,5.774822398894801,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'A']","[54.67, 91.33, 88.67, 58.67, 90.67]"
23BCE10091,6.624675841418924,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'B', 'S', 'A']","[90.17, 94.83, 84.17, 71.5, 54.83]"
23BCE10092,8.75145367342717,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'S', 'A']","[55.33, 82.0, 70.0, 76.0, 77.33]"
23BCE10093,8.167942514847102,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'S', 'A', 'S']","[86.83, 92.17, 98.17, 95.5, 82.17]"
23BCE10094,8.087240587214364,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'S', 'B']","[72.33, 89.0, 99.0, 85.0, 75.67]"
23BCE10095,7.935827646092816,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'A', 'A', 'A']","[96.5, 96.5, 55.83, 63.83, 59.83]"
23BCE10096,8.356374053913294,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'A', 'S']","[60.0, 77.33, 68.0, 74.0, 80.67]"
23BCE10097,8.040980678922082,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'S', 'B']","[69.5, 84.17, 92.17, 90.17, 90.83]"
23BCE10098,7.247568437421982,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'A', 'S']","[68.33, 84.33, 66.33, 86.33, 77.0]"
23BCE10099,5.021701687104229,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'A', 'A']","[91.33, 82.0, 80.67, 87.33, 83.33]"
23BCE10100,6.668859839736799,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'A']","[67.0, 87.67, 87.0, 57.0, 89.0]"
23BCE10101,7.371493883205048,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'A', 'A']","[60.83, 92.83, 85.5, 84.83, 76.83]"
23BCE10102,6.516344008791204,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'S', 'B']","[89.5, 89.5, 69.5, 82.17, 82.83]"
23BCE10103,6.775830582834903,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'B', 'S', 'A', 'B']","[78.33, 74.33, 77.67, 67.0, 88.33]"
23BCE10104,6.5518700527989555,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'A', 'S', 'B']","[95.5, 88.17, 78.83, 79.5, 88.17]"
23BCE10105,7.251215104957446,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'B', 'S', 'A']","[76.33, 97.0, 78.33, 93.67, 79.0]"
23BCE10106,6.480177203841139,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'B', 'S', 'A']","[94.33, 88.33, 89.0, 86.33, 79.67]"
23BCE10107,8.528085228974305,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'S', 'A']","[68.0, 72.0, 74.67, 98.67, 56.0]"
23BCE10108,6.16337910351329,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'B', 'B']","[66.33, 73.0, 60.33, 85.67, 89.67]"
23BCE10109,7.490521956510007,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'S', 'A']","[75.5, 86.17, 86.83, 94.17, 99.5]"
23BCE10110,7.350397112695139,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'A', 'S', 'B']","[95.67, 95.67, 91.0, 93.67, 88.33]"
23BCE10111,6.774667818947496,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'A', 'B']","[71.0, 60.33, 74.33, 54.33, 91.67]"
23BCE10112,6.21052901370704,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'B', 'B', 'A', 'A']","[90.33, 86.33, 74.33, 55.0, 93.0]"
23BCE10113,7.516532284968178,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'A', 'A']","[78.0, 59.33, 79.33, 75.33, 95.33]"
23BCE10114,6.234845546307184,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'B', 'S', 'A']","[69.83, 71.83, 79.17, 88.5, 61.83]"
23BCE10115,4.5498829119186865,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'B', 'A', 'S']","[84.17, 72.83, 74.17, 82.83, 97.5]"
23BCE10116,5.358115199303254,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'B', 'S']","[77.67, 90.33, 92.33, 81.0, 90.33]"
23BCE10117,5.321231240968962,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'B', 'A']","[81.67, 88.33, 57.67, 91.0, 91.67]"
23BCE10118,6.057234996866497,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'A', 'S', 'S']","[74.5, 79.17, 91.17, 99.83, 97.83]"
23BCE10119,7.800003439205331,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'B', 'S', 'S']","[81.5, 80.17, 77.5, 72.83, 76.83]"
23BCE10120,8.577933164457745,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'S', 'A', 'B']","[82.0, 82.0, 94.0, 83.33, 80.67]"
23BCE10121,7.813357780570248,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'B', 'A', 'S', 'S']","[83.33, 81.33, 90.0, 82.67, 70.67]"
23BCE10122,7.910116956801961,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'B', 'A']","[98.83, 76.17, 92.17, 87.5, 88.17]"
23BCE10123,8.363379393749273,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'S', 'A']","[73.83, 89.17, 97.83, 77.83, 81.17]"
23BCE10124,4.836270121860392,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'B', 'A', 'A']","[93.0, 76.33, 89.0, 87.67, 87.67]"
23BCE10125,6.878051462733877,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'B', 'A']","[85.67, 81.0, 81.0, 86.33, 99.0]"
23BCE10126,5.635057897114433,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'A', 'A']","[90.5, 77.17, 66.5, 72.5, 80.5]"
23BCE10127,6.482694456612726,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'B', 'A', 'A']","[79.67, 91.0, 82.33, 85.0, 77.0]"
23BCE10128,5.448061901331222,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'A', 'A']","[78.0, 72.0, 86.0, 98.0, 84.0]"
23BCE10129,8.270500675741552,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'A', 'S']","[96.0, 57.33, 63.33, 71.33, 94.0]"
23BCE10130,6.903392643893705,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'A', 'S']","[77.83, 73.17, 55.17, 61.17, 93.83]"
23BCE10131,7.249200503544151,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'S', 'B']","[95.0, 89.0, 71.67, 81.67, 76.33]"
23BCE10132,7.642867302710868,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'B', 'S', 'S']","[74.33, 95.67, 81.0, 98.33, 80.33]"
23BCE10133,6.695920498806791,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'S', 'A', 'A']","[69.5, 76.83, 98.17, 73.5, 55.5]"
23BCE10134,7.284863513021974,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'A', 'S']","[79.17, 77.17, 89.83, 83.17, 79.83]"
23BCE10135,7.74339990548501,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'A', 'B', 'A']","[76.33, 78.33, 57.67, 85.0, 97.67]"
23BCE10136,5.796865667649127,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'A', 'B', 'A']","[88.5, 83.17, 85.83, 81.17, 83.83]"
23BCE10137,6.060632632684231,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'A', 'S']","[90.83, 83.5, 76.17, 80.83, 71.5]"
23BCE10138,7.82654953842668,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'A', 'S', 'S']","[78.83, 84.17, 98.83, 81.5, 85.5]"
23BCE10139,6.574278052595894,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'A', 'S', 'B']","[93.17, 98.5, 73.83, 80.5, 81.17]"
23BCE10140,6.122500528169578,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'B', 'A', 'A']","[77.5, 75.5, 92.83, 73.5, 81.5]"
23BCE10141,7.66812272594642,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'S', 'A']","[53.5, 55.5, 98.17, 92.17, 81.5]"
23BCE10142,7.507499035401972,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'A', 'B', 'A']","[94.0, 55.33, 55.33, 84.67, 85.33]"
23BCE10143,6.524283736943973,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'A', 'B', 'A']","[75.33, 82.67, 58.0, 79.33, 90.0]"
23BCE10144,7.581286990500771,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'S', 'S', 'B']","[75.0, 85.67, 75.0, 89.0, 77.67]"
23BCE10145,7.208984564188108,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'B', 'B', 'A', 'S']","[73.5, 78.83, 84.83, 75.5, 82.17]"
23BCE10146,8.045808772369755,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'A', 'A']","[98.67, 90.0, 72.67, 82.0, 70.0]"
23BCE10147,6.000991610126709,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'S', 'B', 'A']","[90.33, 87.0, 76.33, 79.0, 63.67]"
23BCE10148,8.40165072262799,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'A', 'S', 'S', 'S']","[82.83, 94.17, 90.83, 94.83, 92.83]"
23BCE10149,6.483225639187384,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'S', 'S', 'A', 'A']","[79.67, 73.67, 77.67, 55.0, 79.0]"
